"latitude","longitude","elevation","distance"
"42.85717","-9.09647","24.1","20061.7"
"42.85733","-9.09674","23.5","20090.0"
"42.85776","-9.09764","20.8","20177.6"
"42.85807","-9.09857","17.6","20260.7"
"42.85838","-9.09949","14.7","20343.7"
"42.85869","-9.10042","12.4","20426.8"
"42.85900","-9.10135","10.4","20509.9"
"42.85931","-9.10224","9.0","20590.1"
"42.85962","-9.10313","7.8","20670.4"
"42.85992","-9.10402","7.0","20750.6"
"42.86023","-9.10491","6.9","20830.8"
"42.86054","-9.10580","6.8","20911.0"
"42.86070","-9.10636","6.7","20960.0"
"42.86072","-9.10668","6.7","20986.2"
"42.86068","-9.10725","6.8","21032.9"
"42.86047","-9.10784","7.1","21086.6"
"42.86025","-9.10843","7.7","21140.3"
"42.86000","-9.10899","8.2","21193.7"
"42.85975","-9.10955","9.0","21247.2"
"42.85950","-9.10994","9.7","21289.4"
"42.85907","-9.11058","10.8","21360.2"
"42.85865","-9.11108","11.3","21421.9"
"42.85823","-9.11157","11.2","21483.6"
"42.85760","-9.11230","10.5","21575.3"
"42.85698","-9.11303","9.8","21666.9"
"42.85635","-9.11376","9.4","21758.6"
"42.85572","-9.11449","9.8","21850.3"
"42.85509","-9.11522","10.7","21941.9"
"42.85447","-9.11595","12.3","22033.6"
"42.85384","-9.11668","14.0","22125.3"
"42.85341","-9.11723","15.1","22191.2"
"42.85297","-9.11778","16.4","22257.2"
"42.85256","-9.11834","17.7","22321.7"
"42.85227","-9.11898","18.6","22383.0"
"42.85201","-9.11989","19.9","22462.7"
"42.85188","-9.12043","20.7","22509.0"
"42.85180","-9.12076","21.2","22537.3"
"42.85166","-9.12130","22.3","22584.0"
"42.85149","-9.12174","22.5","22624.6"
"42.85127","-9.12220","21.2","22669.3"
"42.85108","-9.12257","19.7","22706.2"
"42.85101","-9.12269","19.2","22718.7"
"42.85094","-9.12282","18.7","22731.8"
"42.85080","-9.12310","17.7","22759.4"
"42.85065","-9.12337","16.9","22787.1"
"42.85051","-9.12366","16.1","22815.4"
"42.85036","-9.12393","15.2","22843.0"
"42.85015","-9.12434","13.9","22883.8"
"42.85002","-9.12462","13.2","22910.8"
"42.84995","-9.12477","12.8","22925.3"
"42.84976","-9.12517","12.5","22964.1"
"42.84964","-9.12541","12.8","22987.8"
"42.84948","-9.12572","14.3","23018.7"
"42.84943","-9.12581","14.9","23027.9"
"42.84937","-9.12590","15.5","23037.8"
"42.84921","-9.12614","16.9","23064.3"
"42.84911","-9.12629","17.7","23080.8"
"42.84906","-9.12637","18.0","23089.4"
"42.84885","-9.12666","19.0","23122.6"
"42.84880","-9.12673","19.2","23130.6"
"42.84874","-9.12680","19.4","23139.3"
"42.84851","-9.12711","19.7","23175.3"
"42.84838","-9.12729","20.0","23195.9"
"42.84826","-9.12747","20.3","23215.7"
"42.84815","-9.12767","20.4","23236.1"
"42.84805","-9.12789","20.5","23257.2"
"42.84786","-9.12844","21.1","23306.8"
"42.84782","-9.12892","21.3","23346.2"
"42.84784","-9.12915","21.5","23365.1"
"42.84789","-9.12951","22.1","23394.9"
"42.84800","-9.12982","22.6","23423.0"
"42.84810","-9.13003","22.8","23443.4"
"42.84839","-9.13049","23.2","23492.9"
"42.84865","-9.13081","23.7","23531.8"
"42.84887","-9.13102","24.1","23561.7"
"42.84932","-9.13146","24.7","23623.2"
"42.84940","-9.13153","24.8","23633.8"
"42.84955","-9.13167","24.8","23654.0"
"42.85001","-9.13208","25.5","23715.1"
"42.85017","-9.13220","25.6","23735.4"
"42.85058","-9.13247","26.3","23786.0"
"42.85075","-9.13257","26.7","23806.6"
"42.85128","-9.13288","27.4","23870.8"
